User Name,Tweets Ago,Compound,Negative,Neutral,Positive,Tweet,Date
@BBC,2,0.0,0.0,1.0,0.0,🍣🎣 How did we become hooked on sushi? https://t.co/M6UXeJq9DI,Wed Aug 01 08:01:06 +0000 2018
@BBC,3,-0.5423,0.137,0.863,0.0,A French student has spoken out after she was harassed by a man in a Paris street and then hit in the face when she… https://t.co/65bcKXM3P1,Wed Aug 01 07:27:04 +0000 2018
@BBC,4,0.7964,0.066,0.657,0.277,"""Y'alright love?"" 😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. 

#YorkshireDay

https://t.co/3J8BQGiZM7",Wed Aug 01 07:02:06 +0000 2018
@BBC,5,0.0,0.0,1.0,0.0,"The story of a young girl's choice between Oxford and the university of life...

#AnEducation | 10pm | @BBCFour |… https://t.co/TCSjXsn02B",Tue Jul 31 20:02:08 +0000 2018
@BBC,6,0.5859,0.0,0.808,0.192,"Drama series telling the story of a dysfunctional family, set within a family-run beauty salon.

Age Before Beauty… https://t.co/axP5dYrHMA",Tue Jul 31 19:01:03 +0000 2018
@BBC,7,0.0,0.0,1.0,0.0,How Australia's first gay imam is 'saving lives'. https://t.co/u2QmgRGHCM,Tue Jul 31 18:02:06 +0000 2018
@BBC,8,0.0,0.0,1.0,0.0,"RT @bbcwritersroom: Writer Debbie Horsfield's new @BBCOne drama #AgeBeforeBeauty begins tonight (Tue 31 July) at 9pm. 

We caught up with D…",Tue Jul 31 16:33:01 +0000 2018
@BBC,9,0.0,0.0,1.0,0.0,"The Old Bridge in Mostar is one of Bosnia-Herzegovina's most famous landmarks. 

But does it connect or divide the… https://t.co/lycdJ43HRh",Tue Jul 31 16:01:02 +0000 2018
@BBC,10,0.765,0.0,0.734,0.266,"RT @bbcmusic: ""Hopefully my little messages for train passengers will be a nice surprise and a reminder of the power of music as they go ab…",Tue Jul 31 15:19:43 +0000 2018
@BBC,11,0.636,0.0,0.811,0.189,"Congratulations John! 🎓 A 95-year-old man has graduated from Oxford University, 76 years after he completed his deg… https://t.co/Mjv2UU11be",Tue Jul 31 14:02:05 +0000 2018
@BBC,12,0.0,0.0,1.0,0.0,"Have you ever spotted hidden messages in the Harry Potter films?
#HappyBirthdayHarryPotter https://t.co/LQa8z7fVRz",Tue Jul 31 13:00:23 +0000 2018
@BBC,13,0.7717,0.0,0.758,0.242,"RT @BBCEarth: In formation 🙌

Let's celebrate all the men and women protecting our planet's wildlife 😍
#WorldRangerDay https://t.co/LFQw4w8…",Tue Jul 31 11:41:04 +0000 2018
@BBC,14,0.6236,0.0,0.797,0.203,"Tunnelling work is almost set to begin on London's new super sewer.
But before it can start, some very important th… https://t.co/MNGD6aJkbt",Tue Jul 31 11:38:00 +0000 2018
@BBC,15,-0.1779,0.086,0.914,0.0,"An Australian family has been startled awake after a kangaroo crashed its way through a window in their home.
👉… https://t.co/5YbVtCndEt",Tue Jul 31 11:07:35 +0000 2018
@BBC,16,0.0,0.0,1.0,0.0,"Watch Leading Lady Parts on @BBCiPlayer 👉 https://t.co/cUPHKLfMfy

#LeadingLadyParts",Tue Jul 31 09:50:02 +0000 2018
@BBC,17,0.1877,0.0,0.902,0.098,"Still without a home and unsure where to turn to next, the future is 'scary' for Kelly. https://t.co/PhwokveWSY",Tue Jul 31 08:02:04 +0000 2018
@BBC,18,0.3612,0.096,0.699,0.205,"Legal permission will no longer be required to end care for patients in a long-term permanent vegetative state, the… https://t.co/GU2A0uc0mO",Tue Jul 31 07:28:06 +0000 2018
@BBC,19,0.4215,0.0,0.808,0.192,"'I've found random stuff like false teeth.' 

🌊🚯👏The diving group picking up litter in the North Sea. https://t.co/kI2MCEpguT",Tue Jul 31 07:00:08 +0000 2018
@BBC,20,-0.7181,0.461,0.539,0.0,"For anyone who doesn't care about Love Island... 

https://t.co/e7axx5lyFk",Mon Jul 30 20:03:04 +0000 2018
@BBC,21,0.0,0.0,1.0,0.0,What makes you resilient? https://t.co/cZS96s7bv0,Mon Jul 30 18:01:04 +0000 2018
@BBC,22,-0.4023,0.114,0.886,0.0,"☔️ It turns out it's not just gratitude that makes rain smell so appealing after a long period of dry weather.

The… https://t.co/OwSHy0HKnT",Mon Jul 30 17:03:05 +0000 2018
@BBC,23,0.0,0.0,1.0,0.0,"🐶 Advertising toilet paper using puppies! How it all began... 
#InsideTheFactory https://t.co/gqYOv8YIq1",Mon Jul 30 16:03:04 +0000 2018
@BBC,24,0.0,0.0,1.0,0.0,"📸 Photographs from around the world of Friday's #BloodMoon - the longest lunar eclipse of the 21st Century.
👉… https://t.co/o8HGifFeRl",Mon Jul 30 14:03:08 +0000 2018
@BBC,25,-0.8074,0.3,0.7,0.0,"A polar bear has been shot dead after it attacked a cruise ship guard on Norway's Svalbard archipelago, within the… https://t.co/F3b9a4OlvV",Mon Jul 30 13:04:01 +0000 2018
@BBC,26,0.2572,0.0,0.775,0.225,🐪🚁 When a sheepdog doesn't quite cut it... https://t.co/l5vk7oKBop,Mon Jul 30 12:01:06 +0000 2018
@BBC,27,0.0,0.0,1.0,0.0,"RT @BBCRadio4: BLOOPERS! 
@ProfBrianCox can't tell his hominins from his hominids. Or possibly the other way around.
Much more Monkey Cage…",Mon Jul 30 11:56:23 +0000 2018
@BBC,28,0.0,0.0,1.0,0.0,"Why Americans will be able to 3D print their own guns from August.

https://t.co/8NR7qFaEZY",Mon Jul 30 11:03:01 +0000 2018
@BBC,29,0.4767,0.0,0.871,0.129,❤️ The reaction when this little girl showed her school friends her new sports blade gives us all the feels.… https://t.co/zp4vrauXes,Mon Jul 30 09:00:15 +0000 2018
@BBC,30,0.5562,0.0,0.796,0.204,"Now this is an impressive line-up!

Gemma Arterton, Catherine Tate, @Gemma_Chan1, @emiliaclarke, @IAMLenaHeadey and… https://t.co/D5rDJJ7dyC",Mon Jul 30 08:13:57 +0000 2018
@BBC,31,0.0,0.0,1.0,0.0,"🐈 Our cats may purr when we pet them, but it’s a much more complicated form of communication than we've assumed.
👉… https://t.co/vz6MdvigWx",Mon Jul 30 07:27:06 +0000 2018
@BBC,32,0.1759,0.206,0.546,0.248,"The pika might just be the world's cutest thief!
#AnimalsBehavingBadly https://t.co/v8dSKoVYgD",Mon Jul 30 07:01:05 +0000 2018
@BBC,33,0.0,0.0,1.0,0.0,RT @bbcarts: Tsundoku: The art of buying books and never reading them https://t.co/nzmym0Gtsh,Sun Jul 29 20:26:13 +0000 2018
@BBC,34,0.0,0.0,1.0,0.0,Stacey Dooley meets a Roma girl who turned to prostitution after she was removed from her parents at 13. https://t.co/I7opQRZ6Z2,Sun Jul 29 20:03:05 +0000 2018
@BBC,35,0.4215,0.0,0.891,0.109,"🇺🇸 @edballs travels to America's Deep South to immerse himself in the lives of those who put Trump in power, and le… https://t.co/2oLWounf1y",Sun Jul 29 19:02:05 +0000 2018
@BBC,36,0.6239,0.0,0.854,0.146,"RT @BBCSport: Geraint Thomas has done it! 👏🏴󠁧󠁢󠁷󠁬󠁳󠁿

He's become the first ever Welshman to win the Tour de France 👉 https://t.co/ZtkRdPtGio…",Sun Jul 29 17:29:30 +0000 2018
@BBC,37,0.6705,0.094,0.591,0.315,😂 A Scottish three year old's take on the summer holidays. https://t.co/SaCbnnlnUm,Sun Jul 29 17:03:03 +0000 2018
@BBC,38,0.2263,0.106,0.741,0.153,"😀♥️ Four-year-old Daniel and 91-year-old Stuart, who has dementia, have struck up an unlikely friendship. https://t.co/DVpVhIssTc",Sun Jul 29 16:06:01 +0000 2018
@BBC,39,0.0,0.0,1.0,0.0,😂📺🇦🇱 Here’s what happened when @RomeshRanga went on Albanian TV. https://t.co/WQ8kMjSFco,Sun Jul 29 15:03:02 +0000 2018
@BBC,40,0.6369,0.0,0.833,0.167,Follow live coverage as 150 of the world's best cyclists compete on 200km of closed roads in London and Surrey. 🚴🚴🚴… https://t.co/it0KrVzqqu,Sun Jul 29 14:01:05 +0000 2018
@BBC,41,0.5994,0.0,0.841,0.159,"RT @BBCSportWales: It's a matter of hours until Geraint Thomas is crowned as the first Welshman to win the Tour de France

👉 Here's how he…",Sun Jul 29 13:20:07 +0000 2018
@BBC,42,-0.3818,0.141,0.781,0.078,"RT @bbcgetinspired: Sam Maycock is fulfilling his dad Nigel's dream by taking on the 100-mile route in #RideLondon.

Nigel died in October…",Sun Jul 29 13:18:07 +0000 2018
@BBC,43,-0.2732,0.249,0.609,0.142,This teenager was banned from performing in drag at his school's end-of-year talent show. https://t.co/Hi6uXtSAFz,Sun Jul 29 13:01:07 +0000 2018
@BBC,44,0.0,0.0,1.0,0.0,"RT @BBCFood: Get the whole family making jaffa cakes this weekend 👇
https://t.co/8R0azXouDH https://t.co/xEC8aeQGs0",Sun Jul 29 11:21:30 +0000 2018
@BBC,45,0.0,0.0,1.0,0.0,"What is #ThinPrivilege and who has it?
👉 https://t.co/Ocbj6tAabk https://t.co/HMapWPvJt1",Sun Jul 29 11:01:05 +0000 2018
@BBC,46,0.0,0.0,1.0,0.0,"Researchers have found evidence of an existing body of liquid water on Mars.
👉 https://t.co/cmykUjdfxy https://t.co/d4FhfFj5Sr",Sun Jul 29 10:12:02 +0000 2018
@BBC,47,0.6908,0.064,0.712,0.224,"😂 With 37 Facebook likes and the world's most convoluted chant, the CNCSC is a force to be reckoned with.… https://t.co/7wQhKjH26j",Sun Jul 29 09:03:08 +0000 2018
@BBC,48,-0.9052,0.457,0.437,0.106,"😥 An endangered red squirrel has died after becoming trapped inside a discarded plastic jar.
👉… https://t.co/19IZCDeWBZ",Sun Jul 29 08:01:07 +0000 2018
@BBC,49,0.4939,0.0,0.758,0.242,"Two tiger brothers enjoy their first swimming lesson. 🐯💦 #InternationalTigerDay

https://t.co/QNRnmqTcK5",Sun Jul 29 07:01:03 +0000 2018
@BBC,50,0.3612,0.0,0.865,0.135,"Stand-up comedy from Stewart Lee, recorded live from the Palace Theatre, Southend-on-Sea. 

Stewart Lee Content Pro… https://t.co/VCNnbkhi7J",Sat Jul 28 20:45:06 +0000 2018
@BBC,51,0.6361,0.0,0.827,0.173,"RT @BBCOne: These seadragons are dancing together in a courtship ritual - and it's absolutely beautiful.

The complete series of Life is av…",Sat Jul 28 20:29:40 +0000 2018
@BBC,52,-0.4019,0.213,0.787,0.0,The shocking story of a young man who shot his parents. https://t.co/6O1qzsiKAk,Sat Jul 28 20:02:03 +0000 2018
@BBC,53,0.0,0.0,1.0,0.0,RT @BBCTwo: Ever wondered how toilets are made? We're going #InsideTheFactory... 🚽😄 https://t.co/lgFuM6ER2p,Sat Jul 28 18:12:24 +0000 2018
@BBC,54,0.4404,0.178,0.467,0.355,😂 Genius https://t.co/nqWGYEEBy4,Sat Jul 28 18:07:05 +0000 2018
@BBC,55,-0.0191,0.076,0.924,0.0,"'Doesn't matter what's written on the packet, wet wipes do not disintegrate.'
#TheFiveBillionPoundSuperSewer https://t.co/Ja9nBFnr6b",Sat Jul 28 17:03:00 +0000 2018
@BBC,56,0.3182,0.0,0.777,0.223,"Are you sure you don’t gender-stereotype children?
#NoMoreBoysAndGirls https://t.co/iThZ2P6REW",Sat Jul 28 16:03:06 +0000 2018
@BBC,57,0.5719,0.0,0.85,0.15,"RT @bbcideas: Gin and tonic, the perfect pair. So, how did they come together? 🤔

More Edible Histories 🎥: https://t.co/8nH3A1rqFP https://…",Sat Jul 28 15:31:04 +0000 2018
@BBC,58,0.5859,0.0,0.868,0.132,"RT @BBCSport: Geraint Thomas just needs to roll over the line in Paris tomorrow to win the 2018 Tour de France.

He'll become the first Wel…",Sat Jul 28 15:30:28 +0000 2018
